Reaction,Flux
UPP3S,0.0
UPPDC1,0.0
UPPRT,0.26245577772542616
URAt2,-0.08157276995305159
URIC,2.284452270988258
URIDK2r_copy2,0.0
URIK1,0.0
URIK2,0.0
URIK3,0.0
URIt2,0.29460093896713613
VALDHr,0.7410868585914443
VALTA,0.0
HXAND,0.0
XAND,2.2844522709882584
XANt2,-0.1602112676056334
XPPT,0.0
XYL14BASE,0.0
XYLI1,0.2136150234741784
XYLI2,-1.5897887323943665
XYLK,0.2136150234741784
XYLt2,0.2136150234741784
ZNabc,0.0
ZN2t4,0.0
BALAt2r,0.7869718309859155
ACTD2,0.0
ALDD1,0.0
ALDD20x_1,0.0
ALDD31_1,0.0
GCALDD,0.0013150146480215704
PROt2r,0.6408450704225352
ALATA_D2,0.0
SHCHD2,0.0
DHORD5,0.0
PFK_3,0.0
TRPS2,0.0
PSCVT,0.0
ALCD2x,0.0
ALDD2y,0.0
PTRCTA,0.36635657671323385
CYSDS,0.02994969436572847
CDPPH,0.0
NDP7,0.0
UDCPDPS,0.0
AIRC3,0.0
EDD,0.0
NADH9,0.0
NADH10,0.0
OHPBAT,0.0
HEMEOS,0.0
G1SAT_iML1515,0.0
OAADC,0.0
MACPD,0.0
DMQMT,0.0
HPPK2,0.0
OPHBDC,0.0
OHPHM,0.0
DHORD2,0.0
ADK4,0.0
SSALx,0.0
LGTHL,0.0
ECOAH1,0.0
GLYCL,0.0
PPC,0.0
DHPPD,0.0
DHCIND,0.0
GTPCII2,0.0
LCARS,0.0
ALCD19,1.6688276849813242
SBTPD,0.0
GLXCL,0.0
KAS14,0.0
SDPDS,0.3648251945983984
DKGLCNR2y,0.0
2DGULRy,0.0
RZ5PP,0.0
OCTDPS,0.0
AMANK,0.0
ACNML,0.0
SERASr,0.0
ACMAMUT,0.0
HACD1,0.0
2DGULRx,0.0
G1PTT,0.0
TDPGDH,0.0
TDPDRE,0.0
TDPDRR,0.0
ADNUC,0.0
GMHEPPA,0.0
S7PI,0.0
TRPS3,0.0
KG6PDC,0.0
BETALDHy,0.0
DKGLCNR1,0.0
NADTRHD,0.0
FMNRx2,0.0
UMPK_iML1515,-0.9897162084202331
DDPGALA,0.0
F6PA,22.3279045767802
AGMHE,0.0
IDOND,0.0
IDOND2,0.0
GLYCLTDx,0.0
HPYRRy,0.0
ACODA,0.0
SDPTA,-0.3648251945983984
NMNDA,0.0
SPMDAT2,0.0
G3PD2,-104.32717608096976
FCI,0.0
FCLPA,0.0
ACCOAL,0.0
U23GAAT,0.0
GLYCDx,1.6706192580712715
IGPDH,0.0
CYSS,0.0
ACBIPGT,0.0
ADOCBLS,0.0
ADOCBIK,0.0
HKNDDH,0.0
HKNTDH,0.0
GLYCK2,0.0
SULR,0.0
AMANAPEr,0.0
ACM6PH,0.0
CYTDH,0.0
AIRC2,0.0
GAPD_iML1515,0.0
NTPP4,0.0
NTPP3,0.0
NTPP6,0.0
NTPP7,0.0
NTPP8,0.0
DHPPDA2,0.0
CSND,0.38006785499845863
OCBT,0.0
PRAMPC,0.0
DXYLK,0.0
MDH3,0.0
SOTA,0.0
SGSAD,0.0
MDH2,0.0
GPDDA5,0.0
PPNCL2,0.018282346938229582
MAN1PT2,0.0
NTP3,0.0
G6PDH2r_iML1515,54.44171320679692
NADH5,0.0
GMPS,0.282038618351052
ADK3,0.335502889230564
PPTHpp,0.0
SULabcpp,0.0
TSULabcpp,0.0
AHGDx,0.0
XYLt2pp,0.0
XYLabcpp,0.0
ARBt2rpp,0.0
ARGabcpp,0.0
ARGAGMt7pp,0.0
ASPabcpp,0.0
GALt2pp,0.0
ABUTt2pp,0.0
CYSabcpp,0.0
CYTBDpp,-2.519158927007153e-15
CYTBD2pp,0.0
ADEt2rpp,-0.15023474178403615
ALLabcpp,0.0
ECOAH8,0.0
GUAtpp,0.0
HYXNtpp,0.0
ECOAH5,0.0
DURIt2pp,0.0
CYNTt2pp,0.0
CYTDt2pp_copy1,0.0
DADNt2pp,0.0
DCYTt2pp,0.0
DDGLCNt2rpp,0.0
ACGAMK,0.0
CYSabc2pp,0.0
PRASCSi,1.401635468408146e-17
TRSARr,0.0
LYXI,0.0
URIH,0.0
XTSNH,0.0
INSH,0.0
PPK2,0.0
ASPO3,0.0
ASPO5,0.0
ASPO4,0.0
ACACT5r,0.0
DHPS2,0.0
ACACT6r,0.0
FORtppi,0.0
GLCTR1,0.0
LIPAabcpp,0.0
LIPACabcpp,0.0
GGGABADr,0.0
BUTSO3abcpp,0.0
ETHSO3abcpp,0.0
PTRCt2pp,0.0
FRULYSK,0.0
SULFACabcpp,0.0
MCPST,0.0
UDCPDPpp,0.0
NODOy,0.0
CU1abcpp,0.0
HG2abcpp,0.0
NODOx,0.0
CRNt2rpp,0.0
CRNDt2rpp,0.0
CTBTt2rpp,0.0
ACANTHAT,0.0
METSOXR2,0.0
AMPTASECG,0.0
LACZpp,0.0
GPDDA1pp,0.0
GPDDA5pp,0.0
AGM4PApp,0.0
UDPGALPpp,0.0
UACGAMPpp,0.0
UACGALPpp,0.0
UGLCURPpp,0.0
FEROpp,0.0
MSO3abcpp,0.0
4PEPTabcpp,0.0
ARABDI,0.0
SKMt2pp,0.0
FE2t2pp,0.0
FACOAL80t2pp,0.0
PPGPPDP,0.0
23PDE2pp,0.0
23PDE4pp,0.0
23PDE9pp,0.0
SARCOX,0.0
MN6PP,0.0
F6PP,0.0
FACOAL60t2pp,0.0
IDONt2rpp,0.0
GDPDPK,0.0
TUNGSabcpp,0.0
MOBDabcpp,0.0
Kabcpp,0.0
MELIBt2pp,0.0
METabcpp,0.0
ORNabcpp,0.0
METDabcpp,0.0
PROt2rpp,0.0
ASNNpp,0.0
GLUNpp,0.0
NTPP9,0.0
NTPP10,0.0
NTPP11,0.0
NTD1pp,0.0
NTD2pp,0.0
NTD3pp,0.0
NTD6pp,0.0
ALLPI,0.0
ALLK,0.0
ALLULPE,0.0
FACOAL100t2pp,0.0
RIBabcpp,0.0
GPDDA3pp,0.0
GPDDA4pp,0.0
GPDDA2pp,0.0
CU2abcpp,0.0
