Reaction,Flux
XANt2,-0.1602112676056338
XTSNt2,-1.1572769953051643
XYLt2,0.0
ZN2t4,0.0
BALAt2r,0.7869718309859154
ACTD2,0.0
AKGt2r,0.0
ARSENBabc,0.0
CYTB_B2,0.0
PROt2r,0.6408450704225352
RBFK,0.0
URIC,2.4260896103135177
HXAND,0.5314265405644537
ALATA_D2,0.0
SHCHD2,0.0
DHORD5,0.0
PFK_3,0.0
TRPS2,0.0
MAN6PI,0.0
DMATT,0.0007680402116748019
GRTT,0.0007680402116748019
HCO3E,-9.725270612870156
URIK1,2.0135867472422886
URIK2,0.0
CYTDK1,0.0
CYTDK2,0.0
XYLK,0.0
FBP,1.8222296626797865
PSCVT,-0.0018277047142497944
CHORM,0.0
TKT1,-1.0182694896876319
ALCD2x,0.0
ALDD2y,0.0
NADDP,0.0
PTRCTA,0.0
CYSDS,0.0
POX,0.0
UDCPDPS,0.0
NTPTP1,0.0
NTPTP2,0.0
AIRC3,0.0
TMDK1,0.025385029861985767
EDD,5.009522588703482
HEMEOS,0.0
G1SAT_iML1515,0.0
OAADC,0.0
MACPD,0.0
DMQMT,0.0
HPPK2,0.0
HEX7,0.5281690140845069
OHPHM,0.0
DHORD2,0.0
ADK4,0.0
SSALx,0.0
NADK,0.04037422395244402
NTD2,0.0
ECOAH1,-1.936514559649652
UGLT,-0.7265054054908092
ICL,9.362428333156
GLYCL,0.0
HCYSMT,0.0
PPC,0.0
DHPPD,0.0
DHCIND,0.0
GOFUCR,0.0
GTPCII2,0.0
SADT2,0.0
ALCD19,0.6223254093554078
SBTPD,0.0
MANAO,2.267605633802817
GLXCL,0.0
GLCRAL,0.0
KAS14,0.0
DKGLCNR2y,0.0
2DGULRy,0.0
RZ5PP,0.0
NTD9,0.0
OCTDPS,0.0
AMANK,0.0
ACNML,0.0
SERASr,0.0
PACCOAL,0.2105833308454014
GMHEPK,0.0
TRE6PS,0.0
HACD1,1.9365145596496522
ACACCT,0.0
BUTCT,0.0
2DGULRx,0.0
UDPGALM,0.0
UAPGR,0.29398327154922305
ADNUC,0.0
GMHEPPA,0.0
S7PI,0.0
TRPS3,0.0
CRNCDH,0.0
BETALDHy,0.0
DKGLCNR1,0.0
UMPK_iML1515,-2.599627415073114
DDPGALA,0.0
DURIK1,0.0
UAGPT3,0.293983271549223
GMHEPAT,0.0
IDOND,0.0
IDOND2,0.0
GLYCLTDx,14.92474864801292
HPYRRy,0.6223254093554079
ACODA,0.0
ADA,0.03083968610435977
DADA,0.0
SDPTA,-0.2939832715492231
DDPA,0.0018277047142497948
NMNDA,0.0
NNAM,0.0
MALS,0.0
